ts_code,trade_date,tail_vol,total_vol,tail_ratio,returns_skewness,returns_kurtosis,price_vol_corr,downside_ratio
000001.SZ,20000104,3832876.0,8216086.0,0.46650874881299925,1.8167043261694553,8.288120379648463,0.829284383250409,0.19518052469289957
000001.SZ,20000105,928372.0,9399314.0,0.09877018684555064,0.22362619983141405,2.939542016519283,0.309488502685177,0.4951667822670441
000001.SZ,20000106,5923436.0,12022209.0,0.4927077877285281,1.6768701562806871,8.185994487449172,0.8438990153241532,0.2080590866401945
000001.SZ,20000107,3055147.0,22934634.0,0.13321106410505615,-0.3910009729662777,3.3183327047899853,0.5013033149818764,0.4903204547507802
000001.SZ,20000110,1652723.0,18521082.0,0.0892346894204129,0.519139554606446,4.298232831561927,0.15399227794049253,0.4375949796699456
000001.SZ,20000111,3103214.0,12666326.0,0.24499716808173105,-0.1311758628777791,3.067552128678147,-0.3182761365950071,0.6978917738271346
000001.SZ,20000112,1378372.0,9175299.0,0.15022638499301222,0.5866318899740909,3.5086462429655607,-0.0795994399015032,0.5288531508104969
000001.SZ,20000113,778352.0,5005862.0,0.15548810574482477,0.5403787374517947,4.473707568749147,-0.2917098484659371,0.4420668305724986
000001.SZ,20000114,1239136.0,5597279.0,0.22138185357563916,-0.29027421212211596,2.3800801668870855,-0.6156527988165071,0.7139219143301043
000001.SZ,20000117,857228.0,3464258.0,0.24744923732585736,-0.5952969345605779,4.576826782308744,0.4087641121596803,0.5072882309276617
000001.SZ,20000118,747746.0,4656368.0,0.16058567535899224,-0.26989315031225836,3.1195895412811083,-0.351442037301615,0.6674198124892082
000001.SZ,20000119,621762.0,3781134.0,0.1644379701962427,0.2076228480390537,2.954083890438233,-0.011485201229511893,0.36068576531314595
000001.SZ,20000120,1050020.0,5843772.0,0.17968189039545007,0.22092881974600467,3.730940726058352,-0.2071764173455429,0.39907740760830424
000001.SZ,20000121,1275142.0,8626246.0,0.147821195917668,0.24065756326383644,3.82001488146946,0.19236890099526874,0.5019309384061755
000001.SZ,20000124,1495187.0,11251689.0,0.13288556055895254,-0.0631291782062339,3.704053448455618,-0.2496730673842732,0.5793543051950387
000001.SZ,20000125,1013729.0,8371898.0,0.1210871178793626,1.6267735740646483,8.24056977870412,0.42278556392408007,0.323713093806659
000001.SZ,20000126,657925.0,4772385.0,0.13786083897254728,-2.1547767943633294,10.70310317628258,-0.2016851797767267,0.7510094569038462
000001.SZ,20000127,1363246.0,7356942.0,0.185300631702683,0.2668385921507105,5.160880526547551,0.5929640383444362,0.46746004085741466
000001.SZ,20000128,3640833.0,16736659.0,0.21753642707304965,0.02058339331530301,3.139232549551202,0.5179029215236035,0.384596779248405
000001.SZ,20000214,4289600.0,23370900.0,0.18354449336568127,-0.05886796555634189,4.724774832659103,0.4676689269501941,0.4163853606284889
000001.SZ,20000215,4544900.0,35073200.0,0.1295832715577706,-0.22222065894892207,2.5685380338817536,0.4088501334125207,0.6824821531721407
000001.SZ,20000216,3107600.0,21539300.0,0.14427581212017104,0.7911422135449685,4.0484110225986765,0.36924193049212123,0.3800814208346625
000001.SZ,20000217,8376900.0,35884200.0,0.23344257361178458,-0.02388371078315816,3.8547450971053308,0.5271793636803768,0.5660045952552509
000001.SZ,20000218,2787300.0,13929300.0,0.2001033792078568,-0.15869674566445777,3.551012292915009,0.047039132100796355,0.559419133366118
000001.SZ,20000221,1869200.0,23791701.0,0.07856521061692899,1.9208991541321803,10.76474135171407,0.12705186620904554,0.29029564022120374
000001.SZ,20000222,2130300.0,12488800.0,0.17057683684581385,-1.2070300791372657,4.962981649000412,-0.007636370003776602,0.8622669795769029
000001.SZ,20000223,1171200.0,8817600.0,0.13282525857376157,1.5709349175590608,12.91448705770073,0.1341881098200427,0.34579683050248977
000001.SZ,20000224,1056600.0,6333800.0,0.16681928699990528,0.34425798299012655,5.419174050766936,0.4480127124648585,0.40705522948461315
000001.SZ,20000225,1571400.0,9762500.0,0.1609628681177977,-2.071204610006208,12.8901084134167,-0.18072248858463183,0.667627594273696
000001.SZ,20000228,4688300.0,15435900.0,0.3037270259589658,1.0996796560593007,6.428173666865513,0.6836067754662077,0.27482372602898075
000001.SZ,20000229,1696149.0,14389536.0,0.11787377994676132,0.7488049677024592,5.667985402574637,0.7155759730860669,0.4675089944772853
000001.SZ,20000301,2227513.0,30241413.0,0.07365770243606011,1.6922106254556966,9.208070391588885,0.49531769419919536,0.2940456029124203
000001.SZ,20000302,1234200.0,11899300.0,0.10372038691351593,0.21050339220377362,3.3732358129986255,0.0637508291051684,0.5275120027676222
000001.SZ,20000303,1985200.0,12072700.0,0.1644371184573459,1.8044776132810203,9.255790311978197,0.2518154132635554,0.3115350576383702
000001.SZ,20000306,2962700.0,1118230200.0,0.0026494544683196715,1.295492678249967,10.333659832249252,0.1559708931174461,0.5220627318688563
000001.SZ,20000307,8413700.0,27832700.0,0.3022955013347609,1.526634065103553,6.781572996704891,0.7848678959027082,0.22824588490360892
000001.SZ,20000308,1679700.0,10835500.0,0.155018227123806,0.39268265455919416,4.154145987201316,0.34211556351870936,0.5181152713974541
000001.SZ,20000309,13062800.0,78059000.0,0.1673452132361419,2.0384935858177835,10.473183514980018,0.8425101263784049,0.20680300147942507
000001.SZ,20000310,4045000.0,1632024100.0,0.0024785173209145627,0.19014639606939956,3.6016659715216064,0.01856554879902165,0.6148084613436144
000001.SZ,20000313,1668100.0,11233500.0,0.14849334579605644,0.8020523811626614,5.441434198249708,0.053892362817942505,0.43806976088588273
